Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
35;35;2019-01-01T11:00:35.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;7,0;8,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
35;35;2019-01-01T11:00:35.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
36;36;2019-01-01T11:00:36.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;7,0;7,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
36;36;2019-01-01T11:00:36.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
37;37;2019-01-01T11:00:37.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;8,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
37;37;2019-01-01T11:00:37.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
38;38;2019-01-01T11:00:38.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;9,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
38;38;2019-01-01T11:00:38.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
39;39;2019-01-01T11:00:39.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;10,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
39;39;2019-01-01T11:00:39.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
40;40;2019-01-01T11:00:40.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;11,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
40;40;2019-01-01T11:00:40.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
41;41;2019-01-01T11:00:41.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;12,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
41;41;2019-01-01T11:00:41.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
42;42;2019-01-01T11:00:42.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;13,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
42;42;2019-01-01T11:00:42.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
43;43;2019-01-01T11:00:43.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;14,0;6,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
43;43;2019-01-01T11:00:43.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
44;44;2019-01-01T11:00:44.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;7,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
44;44;2019-01-01T11:00:44.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
45;45;2019-01-01T11:00:45.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;8,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
45;45;2019-01-01T11:00:45.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
46;46;2019-01-01T11:00:46.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;9,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
46;46;2019-01-01T11:00:46.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
47;47;2019-01-01T11:00:47.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;10,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
47;47;2019-01-01T11:00:47.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
48;48;2019-01-01T11:00:48.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;11,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
48;48;2019-01-01T11:00:48.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
49;49;2019-01-01T11:00:49.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;12,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
49;49;2019-01-01T11:00:49.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
50;50;2019-01-01T11:00:50.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;13,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
50;50;2019-01-01T11:00:50.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
51;51;2019-01-01T11:00:51.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;15,0;14,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
51;51;2019-01-01T11:00:51.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
52;52;2019-01-01T11:00:52.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;16,0;15,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
52;52;2019-01-01T11:00:52.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
53;53;2019-01-01T11:00:53.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;17,0;16,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
53;53;2019-01-01T11:00:53.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
54;54;2019-01-01T11:00:54.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;18,0;17,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
54;54;2019-01-01T11:00:54.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
55;55;2019-01-01T11:00:55.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;19,0;18,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
55;55;2019-01-01T11:00:55.0000000+01:00;10;red;standing;100;False;5;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
56;56;2019-01-01T11:00:56.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;20,0;19,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
56;56;2019-01-01T11:00:56.0000000+01:00;10;red;standing;100;False;4;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
57;57;2019-01-01T11:00:57.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;20,0;20,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
57;57;2019-01-01T11:00:57.0000000+01:00;10;red;standing;100;False;3;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
58;58;2019-01-01T11:00:58.0000000+01:00;10;green;standing;100;False;5;0;0;0;False;0;10.0;10.0;False;0;1.0;1.0;21,0;21,0;a3a654c1-2f8b-402c-8125-b2e7b201bfa2
58;58;2019-01-01T11:00:58.0000000+01:00;10;red;standing;100;False;2;0;0;2;False;0;7.0;7.0;False;0;1.0;50.0;23,0;25,0;adb1fb0d-b0d2-481b-a5be-aab4343e974c
