Tick;Step;DateTime;actionPoints;color;currStance;energy;hasMoved;magazineCount;movementDelay;points;stage;tagged;taggedCounter;visibilityRange;visualRange;wasTagged;wasTaggedCounter;xSpawn;ySpawn;0_Position;1_Position;ID
85;85;2019-01-01T11:01:25.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;2,0;49,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
86;86;2019-01-01T11:01:26.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;3,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
87;87;2019-01-01T11:01:27.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;4,0;48,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
88;88;2019-01-01T11:01:28.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;5,0;47,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
89;89;2019-01-01T11:01:29.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;6,0;46,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
90;90;2019-01-01T11:01:30.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;7,0;45,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
91;91;2019-01-01T11:01:31.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;8,0;44,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
92;92;2019-01-01T11:01:32.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;9,0;43,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
93;93;2019-01-01T11:01:33.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;10,0;42,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
94;94;2019-01-01T11:01:34.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;11,0;41,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
95;95;2019-01-01T11:01:35.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;12,0;40,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
96;96;2019-01-01T11:01:36.0000000+01:00;10;red;standing;100;False;2;0;0;0;False;0;7.0;7.0;True;0;1.0;50.0;13,0;39,0;adc7c03a-10f1-47f4-81b7-0b700d8ab80f
